epoch,dense_1_loss,dense_2_loss,dense_3_loss,loss,lr,val_dense_1_loss,val_dense_2_loss,val_dense_3_loss,val_hmar_incorrect,val_loss
0,0.64205350546551,0.17036434293878921,0.14712339272903266,0.9595412418685498,0.001,0.2988690260891373,0.08628889472814046,0.08027701955949101,0.924707997008942,0.46543493949853326
1,0.25047424313046734,0.07514798982377544,0.07098099527829263,0.396603228119598,0.001,0.2644780184070394,0.08474808486924244,0.07817260263725126,0.9372528438721247,0.4273987067144371
2,0.24541823292851114,0.07359132566788375,0.07127172175675758,0.39028128016991603,0.001,0.27301132894009084,0.08893776402885639,0.08273082818811729,0.9345183666224735,0.44467992165010534
3,0.18468075494864927,0.05704181778972797,0.05539430916455241,0.29711688195834346,0.001,0.2390701331673073,0.0683223126630451,0.07380341602776942,0.942796025392224,0.381195861418168
4,0.14151291118146808,0.04470821498353949,0.043104872382905356,0.22932599846913956,0.001,0.2086530517622882,0.06622388970206744,0.06085625941396141,0.949921544637569,0.3357332007365077
5,0.06009443601362399,0.020755759886205778,0.019884486246068627,0.10073468229481425,0.0003,0.133505312544695,0.04703217092337157,0.04811146566787479,0.9680782099414817,0.22864894940111538
6,0.036014580152921596,0.013200393986797667,0.012687283710844295,0.06190225781251585,0.0003,0.15016689615969336,0.056049601018268495,0.050049366710610985,0.9682459703204729,0.2562658650966953
7,0.014634397986813553,0.0057867390838945345,0.005415832879929249,0.025836969991043464,9e-05,0.15820832076532948,0.05703155375013207,0.05638370189148814,0.9719472966517012,0.2716235755942762
8,0.008222513456862241,0.0031667728616209512,0.0028996315601070486,0.014288917873137168,9e-05,0.17447147430625076,0.06308222628103487,0.06151258708218007,0.9707433159464661,0.2990662876425246
9,0.0036382226072801164,0.001549608671198948,0.0012998859665761847,0.006487717255180963,2.7e-05,0.18204866517590815,0.06558433386436807,0.06443262960875971,0.9713518328192745,0.3120656289979339
